Mapping project name,ESCO - CO-SISPE
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,Ocupaciones ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,es
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,CO-SISPE 2011
Classification 2 Concept type,occupations
Classification 2 Version,1
Classification 2 Language,es
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/fd2dd3e9-498f-490f-8589-8c1eea05aa3f,operador de prensa troqueladora/operadora de prensa troqueladora,http://data.europa.eu/esco/occupation/fd2dd3e9-498f-490f-8589-8c1eea05aa3f,73231101,OPERADORES DE MÁQUINA MANDRINADORA (METALES),,skos:broadMatch
http://data.europa.eu/esco/occupation/ddac39cf-5d8b-416a-b24b-9ce3a8a4a668,especialista en importación y exportación de productos de perfumería y cosmética,http://data.europa.eu/esco/occupation/ddac39cf-5d8b-416a-b24b-9ce3a8a4a668,35221023,TÉCNICOS EN COMERCIO EXTERIOR,,skos:broadMatch
http://data.europa.eu/esco/occupation/5d0e1510-7248-4eca-abe4-13de830d1614,supervisor de telar/supervisora de telar,http://data.europa.eu/esco/occupation/5d0e1510-7248-4eca-abe4-13de830d1614,31291273,"TÉCNICOS TEXTIL EN TEJIDOS, EN GENERAL",,skos:broadMatch
http://data.europa.eu/esco/occupation/6296faea-1909-4943-b0e0-662b43ad855d,agente de inmigración,http://data.europa.eu/esco/occupation/6296faea-1909-4943-b0e0-662b43ad855d,59211011,POLICÍAS NACIONALES,,skos:broadMatch
http://data.europa.eu/esco/occupation/f4c997b5-f9e0-4419-b8e7-8e5e2cffc73e,técnico de fabricación de telas no tejidas/técnica de fabricación de telas no tejidas,http://data.europa.eu/esco/occupation/f4c997b5-f9e0-4419-b8e7-8e5e2cffc73e,81591042,"OPERADORES DE MÁQUINAS PARA FABRICAR TELAS NO TEJIDAS, EN GENERAL",,skos:narrowMatch
http://data.europa.eu/esco/occupation/f3d2074e-3f44-45b0-b896-5ee5629a23c1,"especialista en importación y exportación de café, té, cacao y especias",http://data.europa.eu/esco/occupation/f3d2074e-3f44-45b0-b896-5ee5629a23c1,35221023,TÉCNICOS EN COMERCIO EXTERIOR,,skos:broadMatch
http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd,cocinero nutricionista/cocinera nutricionista,http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd,51101026,"COCINEROS, EN GENERAL",,skos:broadMatch
http://data.europa.eu/esco/isco/C3112,Técnicos en ingeniería civil,http://data.europa.eu/esco/isco/C3112,31221106,TÉCNICOS EN INYECCIONES (CONSTRUCCIÓN),,skos:narrowMatch
http://data.europa.eu/esco/occupation/d4cbc865-ad88-4b07-9525-2af3dd31cf0d,carnicero kosher/carnicera kosher,http://data.europa.eu/esco/occupation/d4cbc865-ad88-4b07-9525-2af3dd31cf0d,77011015,CARNICEROS PARA LA VENTA EN COMERCIO,,skos:broadMatch
http://data.europa.eu/esco/occupation/72149e37-f4f4-4570-8c17-27444160aa16,vendedor especializado en zapatería y marroquinería/vendedora especializada en zapatería y marroquinería,http://data.europa.eu/esco/occupation/72149e37-f4f4-4570-8c17-27444160aa16,52201240,DEPENDIENTES DE PELETERÍA,,skos:broadMatch
http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,técnico de conservación de recursos hídricos/técnica de conservación de recursos hídricos,http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,31311120,TÉCNICOS DE CENTRAL HIDROELÉCTRICA,,skos:broadMatch
http://data.europa.eu/esco/isco/C6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia",http://data.europa.eu/esco/isco/C6340,95431019,PEONES DE LA CAZA,,skos:narrowMatch
http://data.europa.eu/esco/occupation/f5e80af5-eebe-4133-878a-5dc5ef34fe93,responsable de equipo de producción agrícola,http://data.europa.eu/esco/occupation/f5e80af5-eebe-4133-878a-5dc5ef34fe93,61101016,"ENCARGADOS O CAPATACES AGRÍCOLAS, EXCEPTO EN HUERTAS, INVERNADEROS, VIVEROS Y JARDINES",,skos:exactMatch
http://data.europa.eu/esco/occupation/3caa57c9-d360-4ce4-8000-34a983666ba7,operario de bodega/operaria de bodega,http://data.europa.eu/esco/occupation/3caa57c9-d360-4ce4-8000-34a983666ba7,77061029,TRABAJADORES DE LA ELABORACIÓN DE BEBIDAS ALCOHÓLICAS,,skos:broadMatch
http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0,ingeniero de control de costes/ingeniera de control de costes,http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0,24311081,INGENIEROS DE PLANIFICACIÓN Y PRODUCCIÓN,,skos:broadMatch
http://data.europa.eu/esco/occupation/fc9a86ec-7ad5-4ccb-a08f-1e369197e14a,montador de productos de cartón/montadora de productos de cartón,http://data.europa.eu/esco/occupation/fc9a86ec-7ad5-4ccb-a08f-1e369197e14a,81431067,"OPERADORES DE MÁQUINAS PARA CONFECCIONAR ARTÍCULOS DE CARTÓN, EN GENERAL",,skos:exactMatch
http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,ingeniero técnico en electrónica/ingeniera técnica en electrónica,http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,24721026,"INGENIEROS TÉCNICOS EN ELECTRÓNICA, EN GENERAL",,skos:exactMatch
http://data.europa.eu/esco/occupation/2b318e09-1a5d-4d7f-85a7-fe78945fe917,supervisor de obras de alcantarillado/supervisora de obras de alcantarillado,http://data.europa.eu/esco/occupation/2b318e09-1a5d-4d7f-85a7-fe78945fe917,71211037,ENCARGADOS DE MANTENIMIENTO DE ALCANTARILLADO,,skos:closeMatch
http://data.europa.eu/esco/occupation/929b5c9d-2fbf-44f2-980d-2ac6c0dc212f,ortoprotésicos,http://data.europa.eu/esco/occupation/929b5c9d-2fbf-44f2-980d-2ac6c0dc212f,33151018,TÉCNICOS ORTOPROTÉSICOS,,skos:exactMatch
http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510,experto en medio ambiente/experta en medio ambiente,http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510,31291189,TÉCNICOS EN MEDIO AMBIENTE,,skos:narrowMatch
http://data.europa.eu/esco/occupation/61704d4b-f54b-43e5-a7de-bfd7a76f2f0d,homeópata,http://data.europa.eu/esco/occupation/61704d4b-f54b-43e5-a7de-bfd7a76f2f0d,33311014,"TÉCNICOS EN TERAPIAS ALTERNATIVAS (NATUROPATÍA, HOMEOPATÍA, ACUPUNTURA, AYURVÉDICA Y OTRAS)",,skos:broadMatch
http://data.europa.eu/esco/occupation/f84aae41-28cc-4aa0-a0df-e7c3030516fd,asesor del servicio de contactos personales/asesora del servicio de contactos personales,http://data.europa.eu/esco/occupation/f84aae41-28cc-4aa0-a0df-e7c3030516fd,58991051,"RELACIONES PÚBLICAS, DE SALAS DE FIESTA Y SIMILARES",,skos:closeMatch
http://data.europa.eu/esco/occupation/2f1380b4-b76b-489c-a3a8-cd05ed6ad392,restaurador de libros/restauradora de libros,http://data.europa.eu/esco/occupation/2f1380b4-b76b-489c-a3a8-cd05ed6ad392,76231016,ENCUADERNADORES-RESTAURADORES ARTESANAL,,skos:broadMatch
http://data.europa.eu/esco/occupation/c0a35355-be44-44c0-82d2-acf8363ed45e,inspector de control de calidad de productos metálicos/inspectora de control de calidad de productos metálicos,http://data.europa.eu/esco/occupation/c0a35355-be44-44c0-82d2-acf8363ed45e,31281010,TÉCNICOS DE MANTENIMIENTO DE ESTRUCTURAS METÁLICAS,,skos:narrowMatch
http://data.europa.eu/esco/occupation/6724e558-2d75-4116-a473-91a4c14d4c69,administrador de pensiones/administradora de pensiones,http://data.europa.eu/esco/occupation/6724e558-2d75-4116-a473-91a4c14d4c69,36221017,PROFESIONALES DE APOYO DE LA ADMINISTRACIÓN PÚBLICA DE SERVICIOS SOCIALES,,skos:broadMatch
http://data.europa.eu/esco/occupation/2a1190f0-14d5-4ce4-ade0-ef726a1887a0,pastor/pastora,http://data.europa.eu/esco/occupation/2a1190f0-14d5-4ce4-ade0-ef726a1887a0,62021023,PASTORES,,skos:exactMatch
http://data.europa.eu/esco/occupation/fd8b68c0-7341-44bb-855d-9b1254eade33,parapsicólogo/parapsicóloga,http://data.europa.eu/esco/occupation/fd8b68c0-7341-44bb-855d-9b1254eade33,58951013,"ASTRÓLOGOS, ADIVINADORES Y AFINES",,skos:broadMatch
