Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Mapping project name,ESCO - SE NOC,,,,,,
Mapping project author,default-author,,,,,,
Mapping project version,,,,,,,
Mapping project version date,csv_generator$today@1751f89f,,,,,,
Classification 1 Name,Esco - yrken,,,,,,
Classification 1 Concept type,Occupation,,,,,,
Classification 1 Version,1.1.1,,,,,,
Classification 1 Language,sv,,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,,
Classification 2 Name,Swedish Standard Classification of Occupations 2012,,,,,,
Classification 2 Concept type,Occupation,,,,,,
Classification 2 Version,18,,,,,,
Classification 2 Language,sv,,,,,,
Classification 2 Landing page,https://atlas.jobtechdev.se/,,,,,,
,,,,,,,
,,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,rörmokare,http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,VVS-montör,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,skos:exactMatch,
http://data.europa.eu/esco/occupation/534d18fe-eae4-4a02-af4d-f78e92faa5d5,"sprinklermontör, bevattning",http://data.europa.eu/esco/occupation/534d18fe-eae4-4a02-af4d-f78e92faa5d5,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,VVS-montör,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,skos:broadMatch,
http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,"tekniker, vattenåtervinning",http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,"Lärling, väg- och anläggningsarbetare",http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,skos:broadMatch,
http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,"tekniker, vattenåtervinning",http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,"Väg- och anläggningsarbetare, utan yrkesbevis",http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,skos:broadMatch,
http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,"tekniker, vattenåtervinning",http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,Väg- och anläggningsarbetare,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,skos:broadMatch,
http://data.europa.eu/esco/occupation/75f4c7aa-019f-4545-9ce1-2d163fe78580,"underhållstekniker, pipeline",http://data.europa.eu/esco/occupation/75f4c7aa-019f-4545-9ce1-2d163fe78580,http://data.jobtechdev.se/taxonomy/concept/mvnD_QKo_UPh,Industrirörmontör,http://data.jobtechdev.se/taxonomy/concept/mvnD_QKo_UPh,skos:broadMatch,
http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,vatten- och avloppstekniker,http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,Väg- och anläggningsarbetare,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,skos:broadMatch,
http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,vatten- och avloppstekniker,http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,"Väg- och anläggningsarbetare, utan yrkesbevis",http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,skos:broadMatch,
http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,vatten- och avloppstekniker,http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,"Lärling, väg- och anläggningsarbetare",http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,skos:broadMatch,
http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,VVS-montör,http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,Väg- och anläggningsarbetare,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,skos:broadMatch,
http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,VVS-montör,http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,"Väg- och anläggningsarbetare, utan yrkesbevis",http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,skos:broadMatch,
http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,VVS-montör,http://data.europa.eu/esco/occupation/461959ed-6a80-4c33-a75e-26aaeb52a5a7,http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,"Lärling, väg- och anläggningsarbetare",http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,skos:broadMatch,
http://data.europa.eu/esco/isco/C7126,VVS-montörer m.fl.,http://data.europa.eu/esco/isco/C7126,http://data.jobtechdev.se/taxonomy/concept/TEWT_q89_rcn,Ventilationsmontör,http://data.jobtechdev.se/taxonomy/concept/TEWT_q89_rcn,skos:narrowMatch,
http://data.europa.eu/esco/isco/C7126,VVS-montörer m.fl.,http://data.europa.eu/esco/isco/C7126,http://data.jobtechdev.se/taxonomy/concept/Euqs_sFt_uAP,Ventilationstekniker,http://data.jobtechdev.se/taxonomy/concept/Euqs_sFt_uAP,skos:narrowMatch,
http://data.europa.eu/esco/isco/C7126,VVS-montörer m.fl.,http://data.europa.eu/esco/isco/C7126,http://data.jobtechdev.se/taxonomy/concept/oAHt_G4F_Bya,Rörinfodrare,http://data.jobtechdev.se/taxonomy/concept/oAHt_G4F_Bya,skos:narrowMatch,
http://data.europa.eu/esco/isco/C7126,VVS-montörer m.fl.,http://data.europa.eu/esco/isco/C7126,http://data.jobtechdev.se/taxonomy/concept/PNj1_ddT_nTm,"Lärling, VVS-montör",http://data.jobtechdev.se/taxonomy/concept/PNj1_ddT_nTm,skos:narrowMatch,
http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,"VVS-montör, avlopp",http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,Väg- och anläggningsarbetare,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,skos:broadMatch,
http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,"VVS-montör, avlopp",http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,"Väg- och anläggningsarbetare, utan yrkesbevis",http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,skos:broadMatch,
http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,"VVS-montör, avlopp",http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,"Lärling, väg- och anläggningsarbetare",http://data.jobtechdev.se/taxonomy/concept/C4WN_ZwJ_xJW,skos:broadMatch,
http://data.europa.eu/esco/occupation/ef53663e-c295-43a4-a48e-84254270b138,"VVS-montör, bevattning",http://data.europa.eu/esco/occupation/ef53663e-c295-43a4-a48e-84254270b138,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,VVS-montör,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,skos:broadMatch,
http://data.europa.eu/esco/occupation/a2abd144-2a36-45ea-919c-1fcc6ebc5d45,"målare, tapetuppsättare",http://data.europa.eu/esco/occupation/a2abd144-2a36-45ea-919c-1fcc6ebc5d45,http://data.jobtechdev.se/taxonomy/concept/EYGb_fhL_6Zy,"Lärling, målare",http://data.jobtechdev.se/taxonomy/concept/EYGb_fhL_6Zy,skos:exactMatch,
http://data.europa.eu/esco/occupation/a2abd144-2a36-45ea-919c-1fcc6ebc5d45,"målare, tapetuppsättare",http://data.europa.eu/esco/occupation/a2abd144-2a36-45ea-919c-1fcc6ebc5d45,http://data.jobtechdev.se/taxonomy/concept/rv19_K1B_Fuo,Målare,http://data.jobtechdev.se/taxonomy/concept/rv19_K1B_Fuo,skos:exactMatch,
http://data.europa.eu/esco/occupation/4305327d-3537-4dfb-a913-bce6614362f1,skorstensfejartekniker,http://data.europa.eu/esco/occupation/4305327d-3537-4dfb-a913-bce6614362f1,http://data.jobtechdev.se/taxonomy/concept/pTSG_TDA_Dwn,Skorstensfejare/Sotare,http://data.jobtechdev.se/taxonomy/concept/pTSG_TDA_Dwn,skos:broadMatch,
http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3,svetsansvarig,http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3,http://data.jobtechdev.se/taxonomy/concept/cTGV_3Ht_9si,Svetsare och gasskärare,http://data.jobtechdev.se/taxonomy/concept/cTGV_3Ht_9si,skos:broadMatch,
http://data.europa.eu/esco/occupation/e9a65aca-64f6-450d-a637-1ecf86ba2a53,elektronstrålesvetsare,http://data.europa.eu/esco/occupation/e9a65aca-64f6-450d-a637-1ecf86ba2a53,http://data.jobtechdev.se/taxonomy/concept/wf1E_nWA_EJp,"Svetsare, manuell",http://data.jobtechdev.se/taxonomy/concept/wf1E_nWA_EJp,skos:broadMatch,
http://data.europa.eu/esco/occupation/c81af273-1112-4b3f-a2a5-b85b1290ae22,lasersvetsare,http://data.europa.eu/esco/occupation/c81af273-1112-4b3f-a2a5-b85b1290ae22,http://data.jobtechdev.se/taxonomy/concept/wf1E_nWA_EJp,"Svetsare, manuell",http://data.jobtechdev.se/taxonomy/concept/wf1E_nWA_EJp,skos:broadMatch,
http://data.europa.eu/esco/occupation/2ff73126-7aff-4233-9d9c-d8725e1c6822,rörsvetsare,http://data.europa.eu/esco/occupation/2ff73126-7aff-4233-9d9c-d8725e1c6822,http://data.jobtechdev.se/taxonomy/concept/wf1E_nWA_EJp,"Svetsare, manuell",http://data.jobtechdev.se/taxonomy/concept/wf1E_nWA_EJp,skos:exactMatch,
http://data.europa.eu/esco/occupation/ea6cd713-94ca-4292-9ba9-ca8a4ec3ed5f,demonteringsarbetare,http://data.europa.eu/esco/occupation/ea6cd713-94ca-4292-9ba9-ca8a4ec3ed5f,http://data.jobtechdev.se/taxonomy/concept/fRKT_Fdr_fHL,Demonteringsarbetare/Rivningsarbetare,http://data.jobtechdev.se/taxonomy/concept/fRKT_Fdr_fHL,skos:exactMatch,
http://data.europa.eu/esco/occupation/b05f53db-b6b0-49bc-aa0c-1790c8c7012b,riggare,http://data.europa.eu/esco/occupation/b05f53db-b6b0-49bc-aa0c-1790c8c7012b,http://data.jobtechdev.se/taxonomy/concept/e8Xd_c8d_CqZ,Riggare och kabelsplitsare,http://data.jobtechdev.se/taxonomy/concept/e8Xd_c8d_CqZ,skos:broadMatch,
