Mapping project name,ESCO - SE NSC;
Mapping project author,default-author;
Mapping project version,N/A;
Mapping project version date,45243;
Classification 1 Name,Esco - kompetenser;
Classification 1 Concept type,Skills;
Classification 1 Version,1.0.9;
Classification 1 Language,sv;
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill;
Classification 2 Name,Swedish skills;
Classification 2 Concept type,Skill;
Classification 2 Version,21;
Classification 2 Language,sv;
Classification 2 Landing page,https://atlas.jobtechdev.se/;
,;
,;
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note;
"http://data.europa.eu/esco/skill/3c654660-5ace-419c-a60e-27aec8c022f8,administrera radiofarmaka,,http://data.jobtechdev.se/taxonomy/concept/vi5t_1Ty_Saz,""Radioterapi, medicintekniskt område ingenjör"",,skos:broadMatch,";
http://data.europa.eu/esco/skill/933e7ccf-5d56-46ba-aca4-857f826a6b3a,administrera tidsbokningar,,http://data.jobtechdev.se/taxonomy/concept/zBNU_qqu_TbC,Besöksbokning,,skos:broadMatch,;
http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,Adobe Illustrator,,http://data.jobtechdev.se/taxonomy/concept/FKub_QFH_Btk,2D-grafik-Adobe Illustrator,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,,http://data.jobtechdev.se/taxonomy/concept/xNyv_PTi_fSa,2D-grafik-Adobe Photoshop,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/d4ae4774-a81d-4255-8491-cade3580685a,Adobe Photoshop Lightroom,,http://data.jobtechdev.se/taxonomy/concept/puiy_Nb9_yUF,Adobe Lightroom,,skos:exactMatch,;
http://data.europa.eu/esco/skill/80466be3-825a-456a-94ec-9c83c0007f0c,aerodynamik,,http://data.jobtechdev.se/taxonomy/concept/23tt_fXS_N7o,Flygteknik,,skos:broadMatch,;
http://data.europa.eu/esco/skill/80466be3-825a-456a-94ec-9c83c0007f0c,aerodynamik,,http://data.jobtechdev.se/taxonomy/concept/LdgJ_JMm_yxF,Vindkraftteknik,,skos:broadMatch,;
http://data.europa.eu/esco/skill/b4a05236-1754-4ec6-869c-025f82855878,aeronomi,,http://data.jobtechdev.se/taxonomy/concept/t2ts_Uuk_Sq2,Astronomi,,skos:broadMatch,;
http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,affärskravstekniker,,http://data.jobtechdev.se/taxonomy/concept/pBbD_2p1_4cP,Systemanalys,,skos:broadMatch,;
http://data.europa.eu/esco/skill/fcb2b5f4-3a64-42f2-987a-073bea986104,affärskännedom,,http://data.jobtechdev.se/taxonomy/concept/G7Qq_r7L_5Jo,Verksamhetsanalys,,skos:broadMatch,;
"http://data.europa.eu/esco/skill/518779a6-ea5d-4e4b-8029-8bc90b5bcb92,affärsledning inom jordbruksområdet,,http://data.jobtechdev.se/taxonomy/concept/NXwB_MUp_XA6,""Driftledning, lantbruk"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,affärsledningsprinciper,,http://data.jobtechdev.se/taxonomy/concept/7ynT_9mC_a1o,""Management, organisation"",,skos:narrowMatch,";
