Mapping project name,ESCO to Dutch NOC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Mapping project author,default-author,,,,,
Mapping project version,,,,,,
Mapping project version date,22-8-2021,,,,,
Classification 1 Name,ESCO mapping,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,nl,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Dutch NOC,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,21.1,,,,,
Classification 2 Language,nl,,,,,
Classification 2 Landing page,,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,technical sales representative in agricultural machinery and equipment,http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,1000408107,"Junior verkoopadviseur tractoren, landbouw- en grondverzetmachines",,skos:narrowMatch
http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,technical sales representative in agricultural machinery and equipment,http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,1000409175,"Verkoopadviseur tractoren, landbouw- en grondverzetmachines",,skos:narrowMatch
http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,motor vehicles parts advisor,http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,1000408163,Verkoopmedewerker autoaccessoires,,skos:narrowMatch
http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,motor vehicles parts advisor,http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,1000409551,Verkoopspecialist autoaccessoires,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,4393,Eerste verkoopmedewerker supermarkt,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408112,Verkoopmedewerker aanhangwagens,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408167,Verkoopmedewerker badkamers en sanitair,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408214,Verkoopmedewerker caravans,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,14109,Verkoopmedewerker doe-het-zelf zaak,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,14116,Verkoopmedewerker drogisterij,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408361,Verkoopmedewerker drogisterijartikelen,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408519,Verkoopmedewerker gedenkstenen,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408522,Verkoopmedewerker handwerkartikelen en fournituren,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,1000408528,Verkoopmedewerker huishoudelijke artikelen en cadeauartikelen,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,sales assistant,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,14121,Verkoopmedewerker huishoudelijke artikelen speelgoed en cadeauartikelen,,skos:narrowMatch
