Mapping project name,ESCO - Национална класификация,,,,,
Mapping project author,default-author,,,,,
Mapping project version,N/A,,,,,
Mapping project version date,2022-03-21,,,,,
Classification 1 Name,Професии в ESCO,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,bg,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Национална класификация на професиите и длъжностите,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,2011,,,,,
Classification 2 Language,bg,,,,,
Classification 2 Landing page,https://mlsp.government.bg/nkpd/,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/2480f8b0-4c02-4c66-84ad-2677c1548e03,"шофьор, сметовоз",http://data.europa.eu/esco/occupation/2480f8b0-4c02-4c66-84ad-2677c1548e03,http://data.europa.eu/esco/concept/bulgarian-occupations/83322004,"Шофьор, специален тежкотоварен автомобил",,skos:closeMatch
http://data.europa.eu/esco/isco/C3522,Техници по далекосъобщителна техника,http://data.europa.eu/esco/isco/C3522,http://data.europa.eu/esco/concept/bulgarian-occupations/35223009,"Техник-механик, АРС на подвижния състав на метрополитен",,skos:narrowMatch
http://data.europa.eu/esco/occupation/f84aae41-28cc-4aa0-a0df-e7c3030516fd,консултант по интимни срещи,http://data.europa.eu/esco/occupation/f84aae41-28cc-4aa0-a0df-e7c3030516fd,http://data.europa.eu/esco/isco/C5169,"Друг обслужващ персонал, некласифициран другаде",,skos:broadMatch
http://data.europa.eu/esco/occupation/bb2933e9-f6ec-4ab0-b2ea-3cc34cf56d18,"машинен оператор, галванизиране",http://data.europa.eu/esco/occupation/bb2933e9-f6ec-4ab0-b2ea-3cc34cf56d18,http://data.europa.eu/esco/concept/bulgarian-occupations/81222002,Галванизатор,,skos:closeMatch
http://data.europa.eu/esco/isco/C2132,"Специалисти в селското, горското и рибното стопанство",http://data.europa.eu/esco/isco/C2132,http://data.europa.eu/esco/concept/bulgarian-occupations/21326014,Лесничей,,skos:narrowMatch
http://data.europa.eu/esco/isco/C8160,Машинни оператори в хранително-вкусовата промишленост,http://data.europa.eu/esco/isco/C8160,http://data.europa.eu/esco/concept/bulgarian-occupations/81602021,"Машинен оператор, пресевна машина",,skos:narrowMatch
http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,разработчик на софтуер,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,http://data.europa.eu/esco/concept/bulgarian-occupations/25126004,"Разработчик, софтуер",,skos:exactMatch
http://data.europa.eu/esco/isco/C3359,"Приложни специалисти в държавната администрация, некласифицирани другаде",http://data.europa.eu/esco/isco/C3359,http://data.europa.eu/esco/concept/bulgarian-occupations/33593020,"Инспектор, ветеринарномедицински служби",,skos:narrowMatch
http://data.europa.eu/esco/occupation/89a3b3af-7264-4e00-9a14-21e5fbd4ee87,"учител по география, прогимназиален/гимназиален етап",http://data.europa.eu/esco/occupation/89a3b3af-7264-4e00-9a14-21e5fbd4ee87,http://data.europa.eu/esco/concept/bulgarian-occupations/23305005,"Учител, общообразователен учебен предмет в гимназиален етап",,skos:broadMatch
http://data.europa.eu/esco/occupation/f87779ae-7389-44e7-b155-16e87904857e,"специалист, гемология",http://data.europa.eu/esco/occupation/f87779ae-7389-44e7-b155-16e87904857e,http://data.europa.eu/esco/isco/C3315,Оценители на имущество и щети,,skos:broadMatch
http://data.europa.eu/esco/occupation/9766cc19-5a64-4b3c-a741-71561285a419,"преподавател по антропология, висше училище",http://data.europa.eu/esco/occupation/9766cc19-5a64-4b3c-a741-71561285a419,http://data.europa.eu/esco/concept/bulgarian-occupations/23106001,"Преподавател, висше училище",,skos:broadMatch
http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,икономист,http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,http://data.europa.eu/esco/concept/bulgarian-occupations/26316014,"Икономист, организация на труда",,skos:narrowMatch
http://data.europa.eu/esco/occupation/291da1ab-1f90-426d-bbc5-60d0fa7d608b,пътнически консултант/пътническа консултантка,http://data.europa.eu/esco/occupation/291da1ab-1f90-426d-bbc5-60d0fa7d608b,http://data.europa.eu/esco/concept/bulgarian-occupations/42213001,"Консултант, пътнически транспорт",,skos:exactMatch
http://data.europa.eu/esco/isco/C2359,"Друг педагогически персонал, некласифициран другаде",http://data.europa.eu/esco/isco/C2359,http://data.europa.eu/esco/concept/bulgarian-occupations/23595043,"Ръководител на направление ""Информационни и комуникационни технологии""",,skos:narrowMatch
http://data.europa.eu/esco/isco/C8152,Машинни оператори в тъкачното производство,http://data.europa.eu/esco/isco/C8152,http://data.europa.eu/esco/concept/bulgarian-occupations/81522024,"Работник, тъфтинг-машина за тъкане на килими",,skos:narrowMatch
http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7,агент продажба на билети/агентка продажба на билети,http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7,http://data.europa.eu/esco/concept/bulgarian-occupations/42212005,"Служител, издаване на пътнически билети",,skos:exactMatch
http://data.europa.eu/esco/occupation/6175b828-026d-4fb4-8be7-418394e1add0,"печатар, цифрова печатарска машина",http://data.europa.eu/esco/occupation/6175b828-026d-4fb4-8be7-418394e1add0,http://data.europa.eu/esco/concept/bulgarian-occupations/73222014,Печатар,,skos:broadMatch
http://data.europa.eu/esco/occupation/149062d6-6496-4004-9c23-93c78b29b5db,"работник, ръчно производство на тухли",http://data.europa.eu/esco/occupation/149062d6-6496-4004-9c23-93c78b29b5db,http://data.europa.eu/esco/isco/C7314,Грънчари и сродни на тях,,skos:broadMatch
http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19,служител туристическа информация/служителка туристическа информация,http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19,http://data.europa.eu/esco/concept/bulgarian-occupations/42212006,"Служител, информация за пътувания",,skos:exactMatch
