Mapping project name,ESCO - Lithuanian Classification of Occupations,,,,,
Mapping project author,Ministry of the Economy and Innovation of the Republic of Lithuania,,,,,
Mapping project version,V1.0,,,,,
Mapping project version date,2021-03-15,,,,,
Classification 1 Name,Profesijos ESCO,,,,,
Classification 1 Concept type,occupation,,,,,
Classification 1 Version,1.0.8,,,,,
Classification 1 Language,lt,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Lietuvos profesijų klasifikatorius,,,,,
Classification 2 Concept type,occupation,,,,,
Classification 2 Version,ESCO LPK,,,,,
Classification 2 Language,lt,,,,,
Classification 2 Landing page,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,karinių oro pajėgų karininkas,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,leitenantas,http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,karinių jūrų pajėgų karininkas,http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,eskadrilės vadas,http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,ginkluotųjų pajėgų karininkas,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,armijos kapitonas,http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,armijos generolas,http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,armijos majoras,http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,artilerijos viršininkas,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,brigados vadas,http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,pulkininkas,http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43,laivyno vadas,http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43,0110,"Ginkluotųjų pajėgų karininkai"","" generolai ir admirolai",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=0110,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021001,Vyresnysis puskarininkis {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021001,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021002,Puskarininkis {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021002,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021003,Jaunesnysis puskarininkis {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021003,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021004,Viršila {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021004,skos:narrowMatch
http://data.europa.eu/esco/isco/C0210,Ginkluotųjų pajėgų puskarininkiai,http://data.europa.eu/esco/isco/C0210,021005,Vyresnysis seržantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=021005,skos:narrowMatch
