Mapping project name,ESCO - ESCOSTAR OCCs
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-21
Classification 1 Name,ESCO - stillingsbetegnelser
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,da
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,ESCOSTAR
Classification 2 Concept type,unknown
Classification 2 Version,09.06.2021
Classification 2 Language,da
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,softwareudvikler,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,http://data.europa.eu/esco/concept/danish-occupations/2512.3,Programmør og systemudvikler,http://data.star.dk/esco/occupation/8b6456a3-ae9a-45a0-a65b-fed797521753,skos:exactMatch
http://data.europa.eu/esco/occupation/8ec6b513-3d44-4e94-b187-d55734a587a4,børsmægler,http://data.europa.eu/esco/occupation/8ec6b513-3d44-4e94-b187-d55734a587a4,http://data.europa.eu/esco/concept/danish-occupations/3311.2.5,Børsmægler,http://data.star.dk/esco/occupation/01c50809-2e4d-411c-ba13-8382bc5e5758,skos:exactMatch
http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83,børnehavepædagog,http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83,http://data.europa.eu/esco/concept/danish-occupations/2342.1,Pædagog,http://data.star.dk/esco/occupation/c29785c5-aa93-4f1d-a2fa-8dd5099e27a3,skos:exactMatch
http://data.europa.eu/esco/occupation/15cc27b1-7358-48ed-9fb8-69ffe9f1fc98,inseminør til kunstig befrugtning af dyr,http://data.europa.eu/esco/occupation/15cc27b1-7358-48ed-9fb8-69ffe9f1fc98,http://data.europa.eu/esco/concept/danish-occupations/3240.2.1,Inseminør,http://data.star.dk/esco/occupation/5ed41766-85ee-433d-9ce9-bf5abdbde90b,skos:exactMatch
http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e,animationstegner,http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e,http://data.europa.eu/esco/concept/danish-occupations/2166.3,"Film-, TV- og animationsarbejder",http://data.star.dk/esco/occupation/1346e2c9-5307-4608-aa7f-e6aafa7b21eb,skos:exactMatch
http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,vvs-installatør,http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,http://data.europa.eu/esco/concept/danish-occupations/7126.8,VVS-installatør,http://data.star.dk/esco/occupation/e429e1a0-5750-4ef3-9d50-0c9d6642bf20,skos:exactMatch
http://data.europa.eu/esco/occupation/d48d4949-73a2-40d7-8350-329cda6b5a9a,flyvemaskinist,http://data.europa.eu/esco/occupation/d48d4949-73a2-40d7-8350-329cda6b5a9a,http://data.europa.eu/esco/concept/danish-occupations/3153.2.6,Flymaskinist,http://data.star.dk/esco/occupation/97bada9e-d2b1-4d67-9928-dd7fbea4b971,skos:exactMatch
http://data.europa.eu/esco/occupation/35eb0aa6-b40d-449d-9390-719be8912277,visual merchandiser,http://data.europa.eu/esco/occupation/35eb0aa6-b40d-449d-9390-719be8912277,http://data.europa.eu/esco/concept/danish-occupations/3432.6,Visual merchandiser,http://data.star.dk/esco/occupation/8a2a4ddb-3567-451c-b88d-ad53944900d8,skos:exactMatch
http://data.europa.eu/esco/occupation/0f5b4653-50b2-413a-826d-39d447480c21,ejendomsadministrator,http://data.europa.eu/esco/occupation/0f5b4653-50b2-413a-826d-39d447480c21,http://data.europa.eu/esco/concept/danish-occupations/3334.5,Ejendomsadministrator,http://data.star.dk/esco/occupation/0ee2eeba-a218-43db-b11c-92434ba0e40c,skos:exactMatch
http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74,forsyningskædeleder,http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74,http://data.europa.eu/esco/concept/danish-occupations/1324.3.4,Supply chain manager,http://data.star.dk/esco/occupation/5e9ccee3-9405-4b7b-ac74-6508ed6b5dcd,skos:exactMatch
http://data.europa.eu/esco/occupation/ce6230b8-154f-4e0b-ac03-dca3a269a19c,leder af kulturhus,http://data.europa.eu/esco/occupation/ce6230b8-154f-4e0b-ac03-dca3a269a19c,http://data.europa.eu/esco/concept/danish-occupations/1431.1.1,Centerleder,http://data.star.dk/esco/occupation/623d2900-f03b-420a-aa30-0d70cc189ba3,skos:exactMatch
http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421,alternativ behandler,http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421,http://data.europa.eu/esco/concept/danish-occupations/2230.1,Alternativ behandler,http://data.star.dk/esco/occupation/10a6d460-b3a0-4927-bf39-7861ac2581d9,skos:exactMatch
http://data.europa.eu/esco/occupation/8a451ae2-3c31-4f35-90af-6275b1b02f93,sceneinstruktør,http://data.europa.eu/esco/occupation/8a451ae2-3c31-4f35-90af-6275b1b02f93,http://data.europa.eu/esco/concept/danish-occupations/2166.4.6,Sceneinstruktør,http://data.star.dk/esco/occupation/f7cae6db-ba24-4249-bc4b-6718094f3933,skos:exactMatch
http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,arbejdsleder inden for bygge og anlæg,http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,http://data.europa.eu/esco/concept/danish-occupations/3123.1,Værkfører,http://data.star.dk/esco/occupation/50255366-eda4-45ae-bfc3-1cc7531ae523,skos:exactMatch
http://data.europa.eu/esco/occupation/cdd3d773-75a4-4f35-bd1d-1ac720afcf9d,IT-revisor,http://data.europa.eu/esco/occupation/cdd3d773-75a4-4f35-bd1d-1ac720afcf9d,http://data.europa.eu/esco/concept/danish-occupations/2511.17,IT-revisor,http://data.star.dk/esco/occupation/cdde0367-fff3-4776-a454-2c1d75bff033,skos:exactMatch
http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,økonomichef,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,http://data.europa.eu/esco/concept/danish-occupations/1211.1,Økonomichef,http://data.star.dk/esco/occupation/c556b252-7d5a-4c79-a98b-c559260862a9,skos:exactMatch
http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,politisk medarbejder,http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,http://data.europa.eu/esco/concept/danish-occupations/2422.10,Politisk medarbejder,http://data.star.dk/esco/occupation/8937abca-d3c0-4a00-9472-28c49fd59136,skos:exactMatch
http://data.europa.eu/esco/occupation/632e61c8-4e4b-44c7-b213-6dd5a174b143,distributionschef,http://data.europa.eu/esco/occupation/632e61c8-4e4b-44c7-b213-6dd5a174b143,http://data.europa.eu/esco/concept/danish-occupations/1324.3.108,Distributionschef,http://data.star.dk/esco/occupation/346f7521-e4e9-4f1a-8755-82fd5a338046,skos:exactMatch
http://data.europa.eu/esco/occupation/f7b04542-d8c7-42db-8475-e63b507cce82,receptionist,http://data.europa.eu/esco/occupation/f7b04542-d8c7-42db-8475-e63b507cce82,http://data.europa.eu/esco/concept/danish-occupations/4226.2,"Receptionist, kontor",http://data.star.dk/esco/occupation/251b9dc2-b875-48be-81e5-ed4f112b3944,skos:exactMatch
http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,kontorfuldmægtig,http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,http://data.europa.eu/esco/concept/danish-occupations/3341.8,Kontorfuldmægtig,http://data.star.dk/esco/occupation/e2aa1be1-06fd-47c9-b4c0-e62b9b8f9f66,skos:exactMatch
http://data.europa.eu/esco/occupation/fccecd5d-ad90-41a8-bb89-96d7595abca3,smed,http://data.europa.eu/esco/occupation/fccecd5d-ad90-41a8-bb89-96d7595abca3,http://data.europa.eu/esco/concept/danish-occupations/7221.1,Smed,http://data.star.dk/esco/occupation/39c2f9a2-4842-49c9-bd0b-90ba9578b18f,skos:exactMatch
http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,reservedelskonsulent,http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,http://data.europa.eu/esco/concept/danish-occupations/5223.2,Reservedelsekspedient,http://data.star.dk/esco/occupation/2188fb1a-5894-4d98-9b24-4e8bbc95cad0,skos:exactMatch
http://data.europa.eu/esco/occupation/4b709f9e-6112-4d58-81b0-2d6e6a69d61b,fødevareteknolog,http://data.europa.eu/esco/occupation/4b709f9e-6112-4d58-81b0-2d6e6a69d61b,http://data.europa.eu/esco/concept/danish-occupations/2145.1.4,Fødevareteknolog,http://data.star.dk/esco/occupation/aa4e68db-7c78-4d42-a54b-a63a7ce7849d,skos:exactMatch
http://data.europa.eu/esco/occupation/1391bdf9-bd61-4fb5-91ca-c29036ab2b60,social- og sundhedshjælper,http://data.europa.eu/esco/occupation/1391bdf9-bd61-4fb5-91ca-c29036ab2b60,http://data.europa.eu/esco/concept/danish-occupations/5322.1,Social- og sundhedshjælper,http://data.star.dk/esco/occupation/6c4558de-7fdd-4de1-921a-bd1d6ab4fe6d,skos:exactMatch
http://data.europa.eu/esco/occupation/95a89206-4dc8-4753-a5d9-bc14a0e5f7ca,sadelmager,http://data.europa.eu/esco/occupation/95a89206-4dc8-4753-a5d9-bc14a0e5f7ca,http://data.europa.eu/esco/concept/danish-occupations/7534.3,Sadelmager,http://data.star.dk/esco/occupation/44c1e607-7a8c-44b2-9d01-6cae1f3b0426,skos:exactMatch
http://data.europa.eu/esco/occupation/a02a1117-212f-4a49-b21a-d3b971e00e48,pizzabager,http://data.europa.eu/esco/occupation/a02a1117-212f-4a49-b21a-d3b971e00e48,http://data.europa.eu/esco/concept/danish-occupations/9411.1,Pizzabager,http://data.star.dk/esco/occupation/b134cda7-13ee-48ef-9fca-27904711404b,skos:exactMatch
