Mapping project name,ESCO - EE NOC v.3
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-22
Classification 1 Name,ESCO ametirühmad ja ametid
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,et
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Töötukassa ametite klassifikaator
Classification 2 Concept type,unknown
Classification 2 Version,07.21
Classification 2 Language,et
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,politseiülem,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,http://data.europa.eu/esco/concept/estonian-occupations/1112.0012,"politseiülem, politsei prefekt",,skos:exactMatch
http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,diplomaat,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,http://data.europa.eu/esco/concept/estonian-occupations/1112.0010,"saadik, diplomaatiline esindaja",,skos:exactMatch
http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,ühiskondliku huviorganisatsiooni juht,http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,http://data.europa.eu/esco/concept/estonian-occupations/1114.0002,mujal liigitamata ühiskondlike ja huviorganisatsioonide juhid,,skos:closeMatch
http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,ühiskondliku huviorganisatsiooni juht,http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,http://data.europa.eu/esco/concept/estonian-occupations/1114.0007,"erakonna esimees, erakonna peasekretär",,skos:narrowMatch
http://data.europa.eu/esco/isco/C1113,Aleviku- ja külavanemad,http://data.europa.eu/esco/isco/C1113,http://data.europa.eu/esco/concept/estonian-occupations/1113.0001,külavanem,,skos:narrowMatch
http://data.europa.eu/esco/occupation/cbad55a4-c7cf-4ab6-9540-eac72b26729b,koduabiline-koristaja,http://data.europa.eu/esco/occupation/cbad55a4-c7cf-4ab6-9540-eac72b26729b,http://data.europa.eu/esco/concept/estonian-occupations/9111.0000,koduabiline,,skos:closeMatch
http://data.europa.eu/esco/occupation/cbad55a4-c7cf-4ab6-9540-eac72b26729b,koduabiline-koristaja,http://data.europa.eu/esco/occupation/cbad55a4-c7cf-4ab6-9540-eac72b26729b,http://data.europa.eu/esco/concept/estonian-occupations/9111.0001,kodukoristaja,,skos:closeMatch
http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183,toateenija,http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183,http://data.europa.eu/esco/concept/estonian-occupations/9112.0001,"hotelli toateenija, koristaja",,skos:exactMatch
http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397,siseruumide koristaja,http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397,http://data.europa.eu/esco/concept/estonian-occupations/9112.0000,"puhastusteenindaja, koristaja",,skos:closeMatch
http://data.europa.eu/esco/occupation/2edd910a-e53e-44ee-b8c2-09e9f9d0395b,rõivaste triikija,http://data.europa.eu/esco/occupation/2edd910a-e53e-44ee-b8c2-09e9f9d0395b,http://data.europa.eu/esco/concept/estonian-occupations/9121.0000,"triikija, rõivapuhastaja",,skos:exactMatch
http://data.europa.eu/esco/occupation/26087cc4-6226-41b0-9f97-9564ebe90dce,riidehoiutöötaja,http://data.europa.eu/esco/occupation/26087cc4-6226-41b0-9f97-9564ebe90dce,http://data.europa.eu/esco/concept/estonian-occupations/9629.0005,"riidehoiutöötaja, garderoobitöötaja",,skos:exactMatch
http://data.europa.eu/esco/isco/C9624,Veekandjad ja küttepuude kogujad,http://data.europa.eu/esco/isco/C9624,http://data.europa.eu/esco/concept/estonian-occupations/9624.0001,"puulõhkuja, küttepuude valmistaja",,skos:narrowMatch
http://data.europa.eu/esco/occupation/15ab8475-549d-48a7-9d4a-5bb310015312,pesulaohoidja,http://data.europa.eu/esco/occupation/15ab8475-549d-48a7-9d4a-5bb310015312,http://data.europa.eu/esco/concept/estonian-occupations/9121.0001,pesukorraldaja,,skos:closeMatch
http://data.europa.eu/esco/occupation/7cb71c5f-c310-481c-b46b-d0044328758c,autopesija,http://data.europa.eu/esco/occupation/7cb71c5f-c310-481c-b46b-d0044328758c,http://data.europa.eu/esco/concept/estonian-occupations/9122.0000,"autopesija, sõidukikoristaja",,skos:exactMatch
http://data.europa.eu/esco/occupation/92cba6b4-8fca-49bb-b68c-45c5096fedc9,aknapesija,http://data.europa.eu/esco/occupation/92cba6b4-8fca-49bb-b68c-45c5096fedc9,http://data.europa.eu/esco/concept/estonian-occupations/9123.0000,aknapesija,,skos:exactMatch
http://data.europa.eu/esco/occupation/373db468-bd25-4b67-a6e0-4ac79d9a9e85,puu- ja köögiviljade korjaja,http://data.europa.eu/esco/occupation/373db468-bd25-4b67-a6e0-4ac79d9a9e85,http://data.europa.eu/esco/concept/estonian-occupations/9211.0001,"marjakorjaja, puuviljakorjaja, aedviljakorjaja",,skos:broadMatch
http://data.europa.eu/esco/occupation/e5e3ea36-4ed9-4c57-987c-9974385551a8,viinamarjaistanduse tööline,http://data.europa.eu/esco/occupation/e5e3ea36-4ed9-4c57-987c-9974385551a8,http://data.europa.eu/esco/concept/estonian-occupations/9211.0001,"marjakorjaja, puuviljakorjaja, aedviljakorjaja",,skos:broadMatch
http://data.europa.eu/esco/occupation/e5e3ea36-4ed9-4c57-987c-9974385551a8,viinamarjaistanduse tööline,http://data.europa.eu/esco/occupation/e5e3ea36-4ed9-4c57-987c-9974385551a8,http://data.europa.eu/esco/concept/estonian-occupations/9211.0000,põllutööline,,skos:broadMatch
http://data.europa.eu/esco/occupation/f8438d21-c726-4534-8d7c-1c5aa9ef05ef,kardinate ja vaipade puhastaja,http://data.europa.eu/esco/occupation/f8438d21-c726-4534-8d7c-1c5aa9ef05ef,http://data.europa.eu/esco/concept/estonian-occupations/9129.0001,basseinipuhastaja,,skos:broadMatch
http://data.europa.eu/esco/occupation/1f31c047-3d72-45fe-83ff-91bd826913c6,kanalisatsioonipuhastaja,http://data.europa.eu/esco/occupation/1f31c047-3d72-45fe-83ff-91bd826913c6,http://data.europa.eu/esco/concept/estonian-occupations/9129.0001,basseinipuhastaja,,skos:broadMatch
http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9,ujumisrajatise abitöötaja,http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9,http://data.europa.eu/esco/concept/estonian-occupations/9129.0001,basseinipuhastaja,,skos:broadMatch
http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,loomafarmi tööline,http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,http://data.europa.eu/esco/concept/estonian-occupations/9212.0002,karjafarmi tööline,,skos:exactMatch
http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,loomafarmi tööline,http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,http://data.europa.eu/esco/concept/estonian-occupations/9212.0000,"loomatalitaja, karjatalitaja",,skos:narrowMatch
http://data.europa.eu/esco/occupation/6630d23f-4c8e-4855-abb0-8ca1e72c74ba,tallitööline,http://data.europa.eu/esco/occupation/6630d23f-4c8e-4855-abb0-8ca1e72c74ba,http://data.europa.eu/esco/concept/estonian-occupations/9212.0001,"tallimees, hobusekasvatuse tallitöötaja",,skos:closeMatch
http://data.europa.eu/esco/occupation/beedd3c0-d3e2-4efe-8f39-381df669ee35,hobuhooldaja,http://data.europa.eu/esco/occupation/beedd3c0-d3e2-4efe-8f39-381df669ee35,http://data.europa.eu/esco/concept/estonian-occupations/9212.0001,"tallimees, hobusekasvatuse tallitöötaja",,skos:broadMatch
