,,,,,
Mapping project name,ESCO - Kompetenzenzsystematik,,,,
Mapping project author,Bundesagentur für Arbeit,,,,
Mapping project version,20220518,,,,
Mapping project version date,2022-05-18,,,,
Classification 1 Name,ESCO,,,,
Classification 1 Concept type,skill,,,,
Classification 1 Version,1.0.3,,,,
Classification 1 Language,de,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill,,,,
Classification 2 Name,Kompetenzsystematik,,,,
Classification 2 Concept type,skill,,,,
Classification 2 Version,20220518,,,,
Classification 2 Language,de,,,,
Classification 2 Landing page,,,,,
,,,,,
,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 2 ID,Classification 2 PrefLabel,Mapping relation,Editorial note
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,"Sägetechniken","K 010700-012","Kettensägearbeiten",skos:broadMatch,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,"Sägetechniken","K 010700-013","Kreissägearbeiten",skos:broadMatch,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,"Sägetechniken","K 0210-002","Betonbohren, Betonsägen",skos:broadMatch,
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,"Bestandteile von Gitarren herstellen","K 010602-021","Zupfinstrumentenbau",skos:narrowMatch,
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,"landwirtschaftliche Maschinen bedienen","K 0004-019","Maschineneinsatz (Landwirtschaft, Forst, Garten)",skos:narrowMatch,
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,"landwirtschaftliche Maschinen bedienen","K 130402-006","Vollerntemaschinen-, Harvesterführung",skos:broadMatch,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,"den Sprengstoff- und Feuerwerkskörperbestand kontrollieren","K 0205-016","Sprengstofflagerung, Sprengstoffverwaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,"den Sprengstoff- und Feuerwerkskörperbestand kontrollieren","K 100002-009","Großfeuerwerk",skos:narrowMatch,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,"den Sprengstoff- und Feuerwerkskörperbestand kontrollieren","K 100002-018","Pyrotechnik",skos:narrowMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-005","Bekleidungsfertigung",skos:exactMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-009","Filzhutmachen",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-010","Finishen, Fertigmachen (Bekleidung)",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-012","Füttern (Textilien)",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-016","Hosenschneiderei",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-017","Hut- und Mützenanfertigung",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-018","Hutformen",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-019","Hutstumpenmachen",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-023","Kollektionsfertigung",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-024","Kostüm-, Mantelschneiderei",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-032","Schnitttechnik",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-034","Sparterieformen",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-035","Steppen (Textil, Bekleidung)",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-042","Trachtenschneiderei",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-043","Uniformschneiderei",skos:broadMatch,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,"Kleidungsprodukte herstellen","K 010100-044","Wäscheschneiderei",skos:broadMatch,
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,"Tabakblätter härten","K 010507-002","Tabakaufbereitung",skos:narrowMatch,
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,"ein Rehabilitationsprogramm entwickeln","K 090206-060","Rehabilitation",skos:narrowMatch,
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,"Bestand an Reinigungsmitteln aufrechterhalten","K 0605-032","Reinigen",skos:narrowMatch,
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,"Kaltvulkanisation","K 011002-010","Kaltvulkanisieren",skos:exactMatch,
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,"Kaltvulkanisation","K 011002-028","Vulkanisieren",skos:narrowMatch,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,"die Haushaltsführung beaufsichtigen","K 0500-005","Housekeeping (Hausdamenabteilung)",skos:narrowMatch,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,"die Haushaltsführung beaufsichtigen","K 0607-006","Haushalts-, Ernährungstechnik",skos:narrowMatch,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,"die Haushaltsführung beaufsichtigen","K 0607-007","Hauswirtschaft",skos:narrowMatch,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,"die Haushaltsführung beaufsichtigen","K 0607-008","Hauswirtschaft, ländlich",skos:narrowMatch,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,"die Haushaltsführung beaufsichtigen","K 0607-009","Hauswirtschaft, städtisch",skos:narrowMatch,
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,"bei einer Gerätestörung als Ansprechperson agieren","K 010205-001","Kundendienst",skos:narrowMatch,
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,"Zeitabläufe im Landschaftsbau managen","K 010200-003","Arbeitsvorbereitung",skos:narrowMatch,
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,"Zeitabläufe im Landschaftsbau managen","K 17-016","Garten- und Landschaftsbau",skos:closeMatch,
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,"Kunden beraten","K 030203-014","Kundenberatung, -betreuung",skos:narrowMatch,
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,"Kunden beraten","K 030206-030","Schaltertätigkeit",skos:closeMatch,
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,"universitären Fachbereich verwalten","K 090100-023","Hochschulorganisation, -verwaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,"Terminologiedatenbanken entwickeln","K 0703-006","Datenbankadministration, -management, -organisation",skos:narrowMatch,
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,"Terminologiedatenbanken entwickeln","K 0803-007","Sprachwissenschaft",skos:closeMatch,
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,"Nährwerteigenschaften von Lebensmitteln bewerten","K 0811-006","Ernährungsphysiologie, -wissenschaft",skos:narrowMatch,
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,"Elektrofahrräder instand setzen","K 010205-003","Wartung, Reparatur, Instandhaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,"Elektrofahrräder instand setzen","K 010803-002","Zweiradtechnik",skos:narrowMatch,
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,"Sortierausrüstung warten","K 010205-003","Wartung, Reparatur, Instandhaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,"Sortierausrüstung warten","K 0609-022","Recycling",skos:closeMatch,
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,"die Ausstattung des Gästezimmers erklären","K 0503-008","Gästebetreuung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,"Arten von Gerste","K 0004-013","Getreidebau",skos:closeMatch,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,"Teileeinkauf durchführen","K 030200-002","Einkauf, Beschaffung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,"Teileeinkauf durchführen","K 130700-004","Kraftfahrzeugteile und -zubehör",skos:closeMatch,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,"Offshorebauwerke untersuchen","K 12-018","Offshore",skos:closeMatch,
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,"Patienten/Patientinnen in medizinische Einrichtungen transportieren","K 090204-002","Krankentransport",skos:narrowMatch,
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,"Umschlagzuschnitt einstellen","K 010404-007","Papierverarbeitung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,"Öle vorbereiten","K 090208-000","Aromatherapie",skos:narrowMatch,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,"Vorräte einkaufen","K 030200-002","Einkauf, Beschaffung",skos:narrowMatch,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,"Vorräte einkaufen","K 0607-018","Vorratshaltung",skos:narrowMatch,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,"bei der Konzeption von Lebensmitteln Exzellenz anstreben","K 010505-011","Lebensmitteltechnologie",skos:closeMatch,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,"bei der Konzeption von Lebensmitteln Exzellenz anstreben","K 011000-040","Lebensmittelchemie",skos:closeMatch,
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,"bei Reinigungsarbeiten persönliche Hygienestandards wahren","K 010505-020","Hygiene",skos:narrowMatch,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,"Extremsportarten ausüben","K 100101-028","Stunts",skos:closeMatch,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,"Extremsportarten ausüben","K 090300-014","Sport",skos:closeMatch,
http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,"Betreuungspersonen für Kinder am Drehort bereitstellen","K 0904-014","Kinder (Betreuung etc.)",skos:closeMatch,
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,"Arbeitsvorgänge organisieren","K 010200-003","Arbeitsvorbereitung",skos:narrowMatch,
http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,"Glasgravur-Werkzeug verwenden","K 010001-016","Glasgravieren",skos:narrowMatch,
http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,"Abrissbirne steuern","K 0205-000","Abbruch- und Abräumarbeiten, Rückbau",skos:narrowMatch,
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,"Stoffqualität bewerten","K 010100-005","Bekleidungsfertigung",skos:closeMatch,
http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,"Absorb (Lernmanagementsysteme)","K 090100-011","E-Learning, Teleteaching",skos:closeMatch,
http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,"administrative Aufgaben für kleine Schiffe wahrnehmen","K 0402-030","Schiffs-, Bootsführung",skos:narrowMatch,
