Mapping project name,ESCO - ROME
Mapping project author,Pôle emploi - France
Mapping project version,V1.4
Mapping project version date,13/07/2022
Classification 1 Name,ESCO
Classification 1 Concept type,occupation
Classification 1 Version,1.1
Classification 1 Language,fr
Classification 1 Landing page,https://esco.ec.europa.eu/fr/classification/occupation_main
Classification 2 Name,ROME 
Classification 2 Concept type,occupation
Classification 2 Version,V3.0
Classification 2 Language,fr
Classification 2 Landing page,https://www.pole-emploi.fr/employeur/vos-recrutements/le-rome-et-les-fiches-metiers.html


classification 1 ID,classification 1 prefered label,classification 2 ID,classification 2 prefered label,mapping relation
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,13572,Contremaître / Contremaîtresse d'exploitation forestière,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,15010,Exploitant forestier / Exploitante forestière,skos:closeMatch
http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forestier,15109,Forestier / Forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,ouvrier forestier/ouvrière forestière,16353,Manoeuvre forestier / forestière,skos:closeMatch
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,ouvrier forestier/ouvrière forestière,17502,Ouvrier forestier / Ouvrière forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,ouvrier forestier/ouvrière forestière,17536,Ouvrier sylvicole / Ouvrière sylvicole,skos:broadMatch
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,ouvrier forestier/ouvrière forestière,17537,Ouvrier sylviculteur / Ouvrière sylvicultrice,skos:broadMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,17889,Populiculteur / Populicultrice,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,19606,Sylviculteur / Sylvicultrice,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,38438,Chef d'équipe de travaux forestiers,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,38439,Conducteur / Conductrice de travaux forestiers,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,10972,Animateur / Animatrice agricole,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,11050,Animateur / Animatrice d'organismes agricoles,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,13350,Conseiller / Conseillère agricole,skos:closeMatch
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,technicien agricole/technicienne agricole,13386,Conseiller / Conseillère d'agriculture,skos:closeMatch
